iter	RMSE
0	8086.469834
1	7770.087266
2	7467.71379
3	7199.662435
4	6943.0514
5	6717.303624
6	6508.206054
7	6312.716537
8	6131.637225
9	5968.078857
10	5820.586303
11	5679.384824
12	5557.756999
13	5438.936341
14	5338.768344
15	5249.32748
16	5162.871507
17	5080.230118
18	5009.046429
19	4945.381614
20	4884.539907
21	4827.270095
22	4773.352139
23	4727.567194
24	4681.479373
25	4640.40414
26	4600.226715
27	4560.275453
28	4514.783255
29	4482.274869
30	4454.002706
31	4421.686689
32	4396.716979
33	4371.588852
34	4347.992668
35	4325.888692
36	4302.606089
37	4276.869636
38	4246.069712
39	4233.00693
40	4212.607999
41	4194.588438
42	4176.157193
43	4153.218202
44	4140.265918
45	4129.277154
46	4109.65472
47	4090.277914
48	4076.468183
49	4064.01575
50	4052.709683
51	4042.858907
52	4033.199701
53	4019.639691
54	4002.496814
55	3994.599993
56	3988.184679
57	3979.651371
58	3968.403234
59	3962.663729
60	3948.145144
61	3942.007905
62	3929.533316
63	3922.933986
64	3914.418239
65	3908.702363
66	3901.203011
67	3895.33069
68	3888.826138
69	3883.052213
70	3878.64828
71	3870.184485
72	3862.519046
73	3858.768869
74	3850.72454
75	3843.703082
76	3837.49885
77	3834.097073
78	3827.296084
79	3818.541314
80	3815.098085
81	3810.92069
82	3804.51595
83	3799.226632
84	3794.635322
85	3788.733777
86	3784.941887
87	3778.681151
88	3775.240157
89	3772.770356
90	3769.740767
91	3767.133394
92	3765.102007
93	3758.821005
94	3755.196257
95	3752.317493
96	3748.415533
97	3745.281129
98	3743.205169
99	3739.35627
100	3734.777312
101	3728.475595
102	3726.138577
103	3723.56918
104	3718.328349
105	3715.258305
106	3711.014847
107	3707.466774
108	3703.390794
109	3701.228744
110	3699.106675
111	3695.908929
112	3690.331327
113	3686.329272
114	3684.493441
115	3681.895368
116	3679.880283
117	3678.16776
118	3676.81255
119	3674.382303
120	3672.931211
121	3669.322025
122	3667.577536
123	3665.678221
124	3662.718809
125	3660.924844
126	3658.39144
127	3655.469201
128	3652.532275
129	3649.878962
130	3644.84467
131	3642.818851
132	3640.705702
133	3636.891846
134	3634.007868
135	3630.438365
136	3628.462861
137	3622.408422
138	3616.716877
139	3612.367237
140	3610.615124
141	3608.701375
142	3607.256163
143	3604.766134
144	3602.951423
145	3601.632547
146	3597.588855
147	3595.148349
148	3592.868816
149	3591.242979
150	3588.116364
151	3585.10933
152	3581.97195
153	3579.92869
154	3577.609888
155	3574.73908
156	3572.383466
157	3569.242409
158	3565.842936
159	3564.098062
160	3561.003633
161	3559.737159
162	3557.952019
163	3555.995289
164	3553.625283
165	3550.011052
166	3548.335653
167	3543.851287
168	3541.559018
169	3536.396855
170	3534.093461
171	3532.220356
172	3530.34682
173	3528.620004
174	3526.689958
175	3523.511694
176	3520.891234
177	3517.654791
178	3515.810426
179	3513.698793
180	3511.922304
181	3510.079305
182	3506.688797
183	3503.768316
184	3501.697781
185	3500.187659
186	3498.156829
187	3495.941231
188	3493.942703
189	3492.485515
190	3490.632185
191	3488.778962
192	3486.996478
193	3484.763702
194	3483.00098
195	3481.2766
196	3479.177097
197	3477.01319
198	3475.458004
199	3471.482686
200	3470.37478
201	3468.491618
202	3466.370607
203	3463.656407
204	3461.964367
205	3460.388759
206	3458.610848
207	3457.141075
208	3455.598758
209	3454.012028
210	3451.949139
211	3450.689623
212	3448.025044
213	3446.698269
214	3444.847656
215	3442.969347
216	3441.155824
217	3440.097911
218	3439.073193
219	3437.662592
220	3436.325896
221	3434.560312
222	3432.665944
223	3431.262645
224	3429.933638
225	3428.579181
226	3427.527867
227	3425.252902
228	3424.346248
229	3422.670263
230	3421.439785
231	3420.304401
232	3418.912083
233	3417.719753
234	3416.328471
235	3414.539349
236	3412.008349
237	3410.93302
238	3409.798138
239	3408.613992
240	3407.426017
241	3406.566598
242	3404.496943
243	3403.068843
244	3401.415519
245	3400.790409
246	3399.336091
247	3396.530456
248	3394.700357
249	3392.99809
250	3391.808884
251	3390.292495
252	3388.63249
253	3387.051528
254	3385.849713
255	3384.439731
256	3383.008681
257	3381.792148
258	3380.740481
259	3379.563651
260	3378.204862
261	3376.774658
262	3374.799923
263	3373.491408
264	3371.827333
265	3370.725994
266	3369.337852
267	3368.087645
268	3366.113033
269	3364.319334
270	3363.178624
271	3361.876269
272	3360.738148
273	3359.642741
274	3357.395193
275	3356.158457
276	3353.195644
277	3352.348896
278	3351.162768
279	3349.87017
280	3348.752687
281	3344.923663
282	3343.78304
283	3343.000721
284	3341.585662
285	3340.834156
286	3339.164269
287	3335.645878
288	3333.956588
289	3332.708891
290	3330.687245
291	3329.52479
292	3328.057643
293	3326.371117
294	3324.930994
295	3323.602797
296	3321.882082
297	3321.255955
298	3320.423687
299	3318.999671
300	3318.13005
301	3317.218781
302	3315.744164
303	3315.688893
304	3314.131234
305	3312.935711
306	3312.005943
307	3311.954003
308	3310.93714
309	3310.358605
310	3309.11979
311	3307.87183
312	3306.765169
313	3305.741428
314	3305.699022
315	3304.391694
316	3302.442482
317	3301.492462
318	3300.489405
319	3299.024582
320	3298.256485
321	3296.894215
322	3295.72265
323	3294.520249
324	3293.60562
325	3291.92296
326	3290.914303
327	3289.476699
328	3288.837552
329	3288.175777
330	3286.846103
331	3285.716987
332	3284.130021
333	3283.717888
334	3282.740623
335	3281.366801
336	3280.120993
337	3279.739869
338	3279.344657
339	3278.994714
340	3278.166797
341	3277.097701
342	3276.054804
343	3275.712672
344	3274.499024
345	3273.206636
346	3272.415697
347	3271.646869
348	3270.802943
349	3269.726518
350	3268.331365
351	3267.59293
352	3266.806267
353	3265.891024
354	3264.663349
355	3262.18946
356	3260.915892
357	3259.7148
358	3259.540621
359	3258.988129
360	3258.819794
361	3257.387486
362	3255.858425
363	3254.888246
364	3253.632404
365	3252.30812
366	3251.263491
367	3249.038739
368	3248.455107
369	3247.594786
370	3246.060665
371	3244.722306
372	3244.276621
373	3243.330265
374	3242.699133
375	3241.780771
376	3240.878754
377	3239.733588
378	3237.293164
379	3236.182144
380	3235.215164
381	3234.490114
382	3233.741891
383	3232.636451
384	3232.608601
385	3231.432527
386	3230.27292
387	3229.992197
388	3228.459661
389	3227.434925
390	3226.39742
391	3225.965026
392	3225.029001
393	3224.529478
394	3223.454181
395	3222.47068
396	3221.149656
397	3220.353881
398	3219.485024
399	3218.155941
400	3218.129259
401	3216.529256
402	3215.542845
403	3214.427657
404	3213.356885
405	3213.078927
406	3212.307267
407	3211.076717
408	3210.388292
409	3209.532886
410	3209.212287
411	3207.589449
412	3206.68596
413	3205.611085
414	3204.909079
415	3204.690574
416	3204.376013
417	3203.703178
418	3202.86937
419	3202.145882
420	3201.500146
421	3200.02174
422	3199.60333
423	3198.558334
424	3197.801686
425	3196.279094
