iter	Passed	Remaining
0	146	146132
1	160	79854
2	167	55623
3	172	42917
4	178	35459
5	183	30460
6	188	26809
7	194	24091
8	199	21967
9	204	20241
10	209	18850
11	214	17694
12	219	16702
13	225	15910
14	231	15211
15	237	14575
16	243	14104
17	249	13586
18	254	13118
19	259	12724
20	264	12318
21	269	11977
22	275	11706
23	283	11547
24	290	11326
25	296	11124
26	305	11026
27	314	10901
28	319	10693
29	324	10498
30	329	10313
31	335	10138
32	339	9958
33	345	9806
34	351	9680
35	356	9540
36	362	9432
37	369	9355
38	374	9230
39	385	9263
40	390	9143
41	396	9039
42	401	8927
43	405	8816
44	410	8712
45	414	8605
46	419	8507
47	424	8419
48	429	8336
49	434	8253
50	440	8203
51	445	8129
52	450	8050
53	485	8505
54	490	8428
55	495	8346
56	499	8267
57	504	8197
58	509	8127
59	527	8265
60	532	8193
61	537	8124
62	542	8074
63	547	8011
64	553	7968
65	559	7912
66	569	7924
67	573	7862
68	578	7802
69	583	7758
70	589	7707
71	594	7657
72	599	7606
73	603	7551
74	608	7500
75	629	7650
76	644	7725
77	651	7695
78	656	7649
79	661	7610
80	666	7561
81	671	7511
82	676	7472
83	686	7482
84	691	7439
85	695	7393
86	700	7350
87	705	7310
88	709	7266
89	714	7221
90	718	7175
91	724	7146
92	728	7103
93	733	7067
94	738	7036
95	743	6996
96	747	6958
97	752	6925
98	756	6886
99	761	6849
100	765	6812
101	770	6782
102	774	6748
103	779	6718
104	784	6690
105	789	6657
106	793	6623
107	799	6603
108	804	6575
109	809	6548
110	814	6523
111	818	6490
112	823	6463
113	828	6438
114	833	6413
115	837	6384
116	843	6363
117	847	6337
118	852	6312
119	857	6289
120	862	6267
121	867	6242
122	871	6217
123	876	6195
124	881	6170
125	886	6147
126	891	6130
127	896	6105
128	900	6080
129	906	6069
130	911	6047
131	916	6026
132	923	6019
133	928	6000
134	938	6012
135	944	5998
136	949	5983
137	955	5968
138	960	5949
139	979	6016
140	984	5996
141	989	5975
142	993	5954
143	998	5932
144	1003	5914
145	1008	5898
146	1016	5900
147	1034	5953
148	1048	5989
149	1056	5988
150	1061	5970
151	1066	5951
152	1071	5932
153	1076	5912
154	1081	5893
155	1085	5875
156	1091	5858
157	1095	5837
158	1100	5818
159	1105	5805
160	1111	5791
161	1116	5776
162	1121	5760
163	1126	5740
164	1132	5730
165	1138	5720
166	1143	5704
167	1159	5741
168	1164	5725
169	1179	5760
170	1185	5746
171	1192	5738
172	1196	5721
173	1202	5707
174	1207	5693
175	1212	5676
176	1217	5662
177	1223	5648
178	1228	5632
179	1234	5623
180	1238	5605
181	1243	5587
182	1249	5577
183	1254	5562
184	1259	5546
185	1265	5538
186	1270	5523
187	1276	5513
188	1281	5499
189	1286	5484
190	1292	5475
191	1309	5508
192	1314	5494
193	1319	5483
194	1326	5477
195	1333	5468
196	1339	5458
197	1345	5451
198	1350	5437
199	1356	5427
200	1362	5414
201	1366	5397
202	1371	5385
203	1377	5373
204	1382	5359
205	1387	5347
206	1394	5343
207	1399	5327
208	1404	5313
209	1408	5300
210	1413	5285
211	1417	5269
212	1437	5309
213	1441	5294
214	1446	5281
215	1452	5272
216	1457	5257
217	1461	5244
218	1467	5233
219	1471	5218
220	1477	5208
221	1482	5196
222	1487	5182
223	1492	5170
224	1498	5159
225	1505	5156
226	1510	5144
227	1515	5130
228	1520	5119
229	1526	5108
230	1530	5096
231	1535	5084
232	1540	5072
233	1546	5061
234	1551	5049
235	1558	5044
236	1564	5035
237	1568	5023
238	1574	5012
239	1579	5001
240	1584	4990
241	1590	4980
242	1594	4968
243	1600	4957
244	1605	4947
245	1617	4958
246	1625	4954
247	1630	4943
248	1636	4934
249	1640	4922
250	1646	4912
251	1651	4901
252	1656	4889
253	1660	4877
254	1665	4867
255	1679	4880
256	1687	4879
257	1694	4874
258	1703	4874
259	1718	4892
260	1723	4880
261	1733	4882
262	1738	4871
263	1743	4860
264	1754	4864
265	1761	4859
266	1766	4849
267	1771	4839
268	1778	4833
269	1784	4823
270	1789	4812
271	1794	4801
272	1798	4790
273	1804	4780
274	1811	4775
275	1820	4774
276	1825	4764
277	1830	4752
278	1834	4741
279	1848	4753
280	1853	4743
281	1858	4732
282	1877	4756
283	1882	4744
284	1886	4732
285	1890	4720
286	1895	4709
287	1900	4697
288	1904	4686
289	1909	4675
290	1914	4665
291	1919	4653
292	1924	4642
293	1929	4633
294	1934	4622
295	1938	4611
296	1947	4609
297	1951	4597
298	1956	4585
299	1961	4577
300	1975	4588
301	1981	4579
302	1985	4567
303	1990	4556
304	1995	4546
305	1999	4534
306	2004	4524
307	2017	4532
308	2022	4522
309	2029	4516
310	2034	4507
311	2039	4497
312	2044	4487
313	2049	4477
314	2054	4467
315	2059	4457
316	2064	4447
317	2069	4438
318	2074	4429
319	2079	4419
320	2086	4413
321	2091	4403
322	2096	4394
323	2102	4386
324	2106	4375
325	2112	4367
326	2118	4360
327	2123	4350
328	2128	4341
329	2133	4331
330	2138	4321
331	2143	4312
332	2148	4303
333	2153	4293
334	2158	4283
335	2162	4274
336	2167	4264
337	2185	4280
338	2190	4270
339	2196	4263
340	2200	4253
341	2213	4258
342	2217	4248
343	2222	4238
344	2228	4230
345	2232	4219
346	2236	4209
347	2242	4200
348	2246	4190
349	2251	4181
350	2259	4177
351	2263	4167
352	2271	4163
353	2276	4154
354	2281	4145
355	2288	4139
356	2293	4131
357	2299	4123
358	2307	4119
